year,month,day,irradiation_forecast,temperature_forecast,irradiation,temperature,power
2017,1,12,87.46744,2.6746292,166.6138046,5.739174419,877.9679392
2017,1,12,132.54556,3.2546291,284.0762381,6.879015108,1538.901807
2017,1,12,165.04352,3.5146291,205.0759434,7.050463205,1158.40441
2017,1,12,167.08173,4.5546293,168.2934654,7.885232308,1040.454946
2017,1,12,127.60656,4.354629,36.06206036,6.251247575,215.3386573
2017,1,12,96.26846,4.104629,0.931561126,5.316262028,0
2017,1,12,32.81864,2.844629,0.493894696,5.053258561,0
2017,1,12,0,1.6246293,0.724297243,4.820089468,0
2017,1,12,0,1.0546293,0.868438499,4.65139443,0
2017,1,12,0,0.6046293,0.693669974,4.422609135,0
2017,1,12,0,0.27462924,0.907976577,4.36547178,0
2017,1,12,0,0.015370751,0.927599026,4.075844761,0
2017,1,12,0,0.76462924,0.763096804,3.598005785,0
2017,1,13,0,1.3246293,0.880942749,3.687291135,0
2017,1,13,0,1.3046293,0.836817693,3.702679855,0
2017,1,13,0,1.3746293,0.463605423,3.418290005,0
2017,1,13,0,1.6846293,0.43587657,2.395196252,0
2017,1,13,0,1.4346293,0.598626686,2.434328864,0
2017,1,13,0,1.2446293,0.572339595,2.754260368,0
2017,1,13,0,1.2246293,1,3.692663749,0
2017,1,13,0,1.0946293,0.936510691,3.654705732,0
2017,1,13,0,0.8446293,13.06561365,4.13078126,30.26338146
2017,1,13,0,1.3746293,38.43295852,5.242168739,174.4598377
2017,1,13,29.063705,3.774629,71.06403677,5.870559057,348.7494362
2017,1,13,86.069954,3.6146293,133.9724091,7.719053653,714.6491522
2017,1,13,143.62033,3.554629,239.4980083,8.37354595,1330.398179
2017,1,13,167.20691,3.824629,118.7681308,7.872545949,630.8301344
2017,1,13,146.01889,3.9446292,35.5263137,6.939809336,166.2731659
2017,1,13,144.70184,3.9346292,10.84280883,6.488157768,44.597278
2017,1,13,98.80698,3.6746292,0.907514845,5.784394679,0
2017,1,13,34.264427,3.044629,0.999778701,5.306741408,0
2017,1,13,0,1.6346292,0.950550646,4.455922741,0
2017,1,13,0,1.5046293,0.969864248,3.597693274,0
2017,1,13,0,0.9646293,0.798599303,2.761029095,0
2017,1,13,0,1.0046293,0.82147939,2.737615932,0
2017,1,13,0,1.2446293,0.550493287,2.838668226,0
2017,1,13,0,1.1546292,0.847772069,3.011662372,0
2017,1,14,0,1.1546292,0.893108386,3.235099161,0
2017,1,14,0,0.63462925,0.817508413,3.302224465,0
2017,1,14,0,0.19462924,0.753358988,3.195744999,0
2017,1,14,0,0.15462925,0.557965561,3.147875,0
